States/Uts,Number of Road Accidents - Total -2006,Number of Road Accidents - Total -2007,Number of Road Accidents - Total -2008,Number of Road Accidents - Total -2009,Number of Road Accidents - Total -2010,Number of Road Accidents - Total -2011,Number of Road Accidents - Total -2012,Number of Road Accidents - Total -2013,Number of Road Accidents - Total -2014,Number of Road Accidents - Total -2015,Number of Road Accidents ( Motor Cycle/ Scooter ) - Total -2016,Number of Road Accidents ( Moped/Scootty ) - Total -2016,Number of Road Accidents - Fatal -2006,Number of Road Accidents - Fatal -2007,Number of Road Accidents - Fatal -2008,Number of Road Accidents - Fatal -2009,Number of Road Accidents - Fatal -2010,Number of Road Accidents - Fatal -2011,Number of Road Accidents - Fatal -2012,Number of Road Accidents - Fatal -2013,Number of Road Accidents - Fatal -2014,Number of Road Accidents - Fatal -2015,Number of Road Accidents ( Motor Cycle/ Scooter ) - Fatal -2016,Number of Road Accidents ( Moped/Scootty ) - Fatal -2016,Number of Persons - Killed -2006,Number of Persons - Killed -2007,Number of Persons - Killed -2008,Number of Persons - Killed -2009,Number of Persons - Killed -2010,Number of Persons - Killed -2011,Number of Persons - Killed -2012,Number of Persons - Killed -2013,Number of Persons - Killed -2014,Number of Persons - Killed -2015,Number of Persons ( Motor Cycle/ Scooter ) - Killed -2016,Number of Persons ( Moped/Scootty ) - Killed -2016,Number of Persons - Injured -2006,Number of Persons - Injured -2007,Number of Persons - Injured -2008,Number of Persons - Injured -2009,Number of Persons - Injured -2010,Number of Persons - Injured -2011,Number of Persons - Injured -2012,Number of Persons - Injured -2013,Number of Persons - Injured -2014,Number of Persons - Injured -2015,Number of Persons ( Motor Cycle/ Scooter ) - Greviously Injured -2016,Number of Persons ( Motor Cycle/ Scooter ) - Minor Injured -2016,Number of Persons ( Moped/Scootty ) - Greviously Injured -2016,Number of Persons ( Moped/Scootty ) - Minor Injured -2016
Andhra Pradesh,6635,6699,7896,6585,8476,7691,9204,9515,7239,6715,7107,170,1527,1877,1922,2136,2494,2573,2724,2609,1961,1916,2060,48,1342,1561,2157,1904,2610,2536,2901,2741,2003,2005,2139,51,7071,9037,8072,6771,8562,10889,9639,10666,7333,6881,2027,5292,76,100
Arunachal Pradesh,40,53,51,109,57,61,40,84,34,50,60,28,10,18,14,46,18,20,13,30,15,19,26,11,10,20,15,50,18,22,13,62,21,21,34,19,32,40,48,77,47,55,21,179,30,58,42,22,29,10
Assam,678,646,619,855,957,1130,1278,1436,1508,1712,2009,183,211,220,223,261,325,364,432,498,489,555,650,69,196,247,232,279,348,422,457,531,537,540,539,75,541,645,488,677,774,763,906,1098,1342,1306,1375,273,152,43
Bihar,802,925,1009,1234,1286,1647,1803,1862,1750,1869,1687,142,304,335,383,480,475,634,724,743,769,945,867,57,315,348,399,503,533,706,733,808,820,1052,948,63,477,629,664,839,905,1237,1253,1149,1131,1316,688,402,65,41
Chhattisgarh,2694,3222,3346,3863,3887,4003,3325,4551,4787,5099,4332,427,382,453,494,532,562,567,524,781,1074,1205,1110,92,367,461,550,590,587,615,610,891,1126,1243,1158,98,2474,2972,3393,3846,3891,3834,3688,4054,4295,4582,658,3143,74,293
Goa,1301,1488,1816,1896,1899,2237,1884,1911,1907,1857,2064,5,103,146,157,168,182,137,121,121,130,146,129,0,111,155,162,183,193,152,130,136,134,154,136,0,1239,1323,1417,1289,1192,1303,879,765,838,865,131,663,0,2
Gujarat,5912,7116,6854,7351,7043,6770,6431,5825,5562,6196,5848,441,819,1017,1042,1184,1330,1350,1541,1559,1535,1965,1893,126,889,1094,1128,1288,1456,1461,1698,1678,1689,2113,2057,143,6341,7284,6562,7208,6981,6572,6184,5499,5123,5383,2692,2451,193,230
Haryana,1148,1322,1225,1255,1180,1172,1084,1113,1131,1178,1638,203,236,276,286,302,297,306,276,289,300,319,527,77,282,322,335,343,357,360,301,307,318,353,552,43,1430,1540,1570,1560,1460,1448,1420,1390,1370,1549,325,1255,33,79
Himachal Pradesh,502,614,603,736,837,756,697,752,814,742,645,18,76,102,83,139,186,160,144,129,165,136,180,5,140,110,95,170,229,181,144,143,169,150,192,5,617,816,839,931,1213,869,845,1000,1083,1034,340,572,10,13
Jammu & Kashmir,912,812,919,762,1139,1142,1144,1214,1101,1098,1025,23,82,68,119,92,134,157,189,197,226,202,130,6,87,101,119,104,146,165,191,123,256,241,139,6,1355,841,1005,857,1290,1291,560,621,709,725,38,1118,2,20
Jharkhand,1441,1286,1024,1092,1489,1318,1341,1294,1190,1496,1141,439,525,526,292,421,555,549,600,576,538,698,895,192,536,412,334,445,579,622,626,647,607,742,895,192,915,950,915,816,1193,981,870,925,892,1138,435,176,468,109
Karnataka,9990,11487,11118,10731,12133,10780,10588,12356,10752,13155,14965,1252,1457,1755,1803,1700,1872,1821,1891,2271,2473,2803,3596,274,1566,1912,1824,1837,2041,1961,2081,2406,3040,2993,3832,287,11611,13603,12344,12791,13490,12765,12565,13577,13930,14016,7691,8517,738,1007
Kerala,13684,13141,12327,11727,11643,11685,12019,11701,12113,13093,13164,54,962,860,903,882,904,965,996,985,951,979,1094,12,1065,898,929,909,938,983,1018,1010,963,998,1280,13,15564,13155,12082,11453,11495,11520,11740,11326,11787,12692,10562,3082,28,19
Madhya Pradesh,10664,12690,12893,15659,17071,15742,16693,18535,19688,19968,21001,1502,692,957,1027,1240,1620,1434,1689,2034,2024,2180,2702,251,741,1100,1095,1327,1863,1660,1817,2259,2255,2529,2858,155,13640,13879,13986,17717,18659,15277,17541,18946,18754,19105,2393,17901,141,2075
Maharashtra,16218,14212,15602,14579,13532,15560,15111,14321,14089,15005,13302,713,1959,2078,2307,2306,2173,3004,3119,3017,3715,4076,4002,198,2450,2392,2231,1231,2666,3406,3477,3500,4068,4514,4428,222,9399,9352,9455,7454,8564,10874,10440,10052,11310,11889,6961,4171,425,249
Manipur,141,123,145,127,162,192,175,163,201,225,143,0,24,18,22,16,28,34,34,36,33,35,15,0,26,18,22,17,29,37,37,37,33,37,16,0,200,187,203,176,299,280,250,254,323,348,50,195,0,0
Meghalaya,58,33,33,40,57,21,31,35,45,76,105,1,15,10,10,10,14,12,17,12,14,31,22,0,15,11,11,11,15,16,18,12,14,33,23,0,38,31,31,67,65,15,14,23,25,43,33,29,1,0
Mizoram,19,4,16,24,27,16,27,33,32,17,16,1,6,3,5,13,14,12,17,20,15,15,12,1,6,4,5,13,14,12,19,22,16,16,12,1,12,4,18,14,12,10,22,21,27,20,3,2,0,0
Nagaland,55,4,6,0,2,3,6,12,56,8,13,0,14,4,5,0,2,3,3,3,10,3,9,0,25,4,4,0,2,3,9,3,12,6,6,0,55,0,6,0,1,3,7,15,54,5,5,5,0,0
Odisha,1850,1871,1617,1855,1982,1969,2191,2459,2637,3139,3374,313,496,564,491,579,686,665,800,944,989,1228,1352,103,521,605,502,656,746,708,872,1035,1050,1304,1436,111,2119,2010,1669,1972,2046,2073,2032,2342,2614,3128,1739,1380,170,118
Punjab,525,743,706,613,830,1327,1498,1694,1598,1745,1466,164,261,416,355,326,523,915,1021,1060,1080,1097,933,78,290,435,379,367,397,934,1110,1113,1178,1216,1021,97,402,631,561,501,533,812,964,1101,987,982,565,289,87,42
Rajasthan,4467,4740,5150,5649,5405,4891,4968,5249,5955,5865,5494,242,1113,941,1187,1351,1427,1377,1439,1632,1851,1844,1818,94,1273,1046,1296,1404,1503,1364,1420,1668,1902,1964,1999,100,4118,5185,5563,5995,5779,5231,5244,5380,6161,5837,1457,3746,67,145
Sikkim,18,13,15,0,0,0,4,8,31,10,8,0,2,1,1,0,0,0,3,4,5,6,3,0,2,2,2,0,0,0,2,2,5,8,3,0,31,27,10,0,0,0,2,5,30,10,2,15,0,0
Tamil Nadu,12537,15370,12276,14077,19086,19358,21947,22496,24008,25142,23872,3943,2098,2371,1974,2650,3703,3883,4324,4327,4570,4718,4813,695,2172,2451,2092,2595,3835,4137,4466,4467,4704,4887,4961,705,12663,16487,13933,15202,19679,20669,23165,23245,25091,25913,3135,22316,68,3289
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,4596,6744,7735,284,NA,NA,NA,NA,NA,NA,NA,NA,1342,1950,2243,81,NA,NA,NA,NA,NA,NA,NA,NA,1399,2061,2414,86,NA,NA,NA,NA,NA,NA,NA,NA,3725,6368,563,6882,11,254
Tripura,36,90,79,114,130,113,151,163,142,116,109,9,11,13,24,34,42,35,43,43,37,31,38,3,11,15,24,36,43,40,44,45,39,31,40,3,78,119,62,105,128,110,135,179,144,118,101,0,8,0
Uttarakhand,152,189,187,207,260,197,219,205,231,264,359,94,74,80,71,85,86,68,77,83,81,106,163,51,84,82,86,93,99,69,85,90,96,131,181,56,105,139,166,187,237,214,114,193,250,308,216,97,55,14
Uttar Pradesh,3762,3935,4347,4639,4917,5049,5252,5058,4899,7330,10052,1523,1623,1819,1926,2030,2255,2191,2127,2146,2189,3462,4977,562,1828,1971,2231,2476,2453,3764,2623,2606,2492,3993,5328,756,2700,2518,2892,3193,3222,2512,3859,4026,3513,5509,4956,1188,677,488
West Bengal,1128,1144,1497,1365,1709,1533,2254,1944,3514,2550,3573,605,430,426,643,494,671,641,834,744,1257,1122,1525,215,464,389,699,582,643,692,832,780,1333,1190,1692,216,1259,977,1078,595,1349,1412,1854,1710,2409,2203,2235,760,186,56
Andaman & Nicobar Islands,29,47,61,85,88,96,102,66,92,119,98,10,0,4,6,9,5,4,12,7,4,8,4,0,0,4,6,9,5,4,12,8,5,9,4,0,36,62,69,95,98,122,100,72,98,132,33,62,1,5
Chandigarh,107,108,94,64,125,57,58,56,61,63,70,1,23,24,21,17,28,12,17,10,20,20,26,0,23,25,22,24,28,12,17,10,20,21,29,0,114,112,80,68,121,58,48,38,76,48,4,49,0,1
Dadra & Nagar Haveli,12,33,40,19,21,21,28,25,18,21,20,3,7,18,24,16,16,15,14,13,12,11,11,1,9,20,25,17,17,15,15,14,14,13,14,1,11,33,25,13,24,15,33,19,15,22,17,5,5,0
Daman & Diu,19,15,11,20,18,12,12,20,14,23,21,2,5,8,6,12,12,9,9,15,8,15,10,1,5,8,6,12,12,9,9,15,8,18,13,1,25,20,8,22,12,5,7,12,22,20,15,10,1,0
Delhi,1404,1288,1157,1017,979,1004,956,1099,1305,1225,1837,385,176,204,144,178,152,156,179,159,137,147,298,80,181,211,147,184,154,158,184,163,143,149,305,82,1378,1265,1161,1026,NA,1082,923,1127,1361,1330,155,1728,42,357
Lakshadweep,5,2,8,4,4,0,3,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,2,5,3,5,0,3,2,1,1,0,0,0,0
Puducherry,623,788,741,647,593,536,444,630,533,475,744,3,70,67,64,66,55,64,49,82,45,64,92,0,72,69,66,67,57,64,51,83,55,68,95,0,688,845,927,673,581,746,446,712,599,459,276,473,1,0
All India,99568,106253,105488,109000,119024,118089,122968,127886,133634,144391,149097,13183,15794,17679,18034,19776,22846,24137,26002,27179,30064,34057,38225,3383,17105,18503,19230,19728,24616,27290,28022,29415,32524,36803,40779,3587,98742,106720,101307,104193,113907,115047,117773,121723,127452,135343,51918,88269,3814,9059
